Year,Forecast_RE_share,Lower_95_CI,Upper_95_CI
2026,16.232169388032368,14.71342454416444,17.750914231900296
2027,16.740409603918252,14.74536646971976,18.73545273811674
2028,17.27085719822184,14.99170496174911,19.55000943469457
2029,17.8202212480733,15.355341248460984,20.285101247685613
2030,18.38569851416144,15.794378324113957,20.977018704208923
