p,d,q,trend,aic,bic
1,0,0,ct,46.77854435829617,49.8688992472553
1,0,1,ct,48.768006798923444,52.63095041012235
0,0,1,ct,52.57645925720396,55.666814146163084
0,0,0,ct,58.15587263925434,60.473638805973685
